mp_id,formula,band_gap_mp,formation_energy_per_atom_mp,energy_above_hull_mp,is_stable_mp,cbm_mp,vbm_mp,efermi_mp,has_band_edges_mp
mp-1244941,SnO2,0.3161000000000005,-1.3630701143137258,0.7444118906862744,False,5.6737,5.3576,5.38547828,True
mp-1245012,VO2,0.8943,-2.24444660372549,0.2780215729411619,False,1.8468,0.9525,0.95603165,True
mp-1245015,ZnO,1.2763,-1.541949366625,0.24894974587499963,False,1.5209,0.2446,0.24479772,True
mp-1245027,SnO2,0.6712999999999996,-1.4660673343333328,0.6414146706666664,False,6.4158,5.7445,5.74453247,True
mp-1245047,VO2,0.5321,-1.9053435606862752,0.6171246159803765,False,2.5112,1.9791,2.03972528,True
mp-1245059,VO2,0.6792999999999998,-2.264944019705882,0.2575241569607698,False,2.2878,1.6085,1.65244463,True
mp-1245098,TiO2,2.6007000000000002,-3.341442911333334,0.1666125406111103,False,3.5857,0.985,0.98501815,True
mp-1245107,HfO2,3.7499000000000002,-3.792694125784312,0.2271169150490202,False,5.897,2.1471,2.19733388,True
mp-1245109,ZnO,1.2176,-1.543852975125,0.24704613737499947,False,1.8226,0.605,0.60503965,True
mp-1245112,HfO2,3.6200999999999994,-3.809903184313724,0.20990785651960664,False,5.8561,2.236,2.32038502,True
mp-1245116,SnO2,0.6303000000000001,-1.442250091555555,0.6652319134444449,False,5.9774,5.3471,5.34718356,True
mp-1245126,SnO2,0.35770000000000035,-1.3741452175490192,0.7333367874509813,False,5.3628,5.0051,5.05793391,True
mp-1245134,TiO2,2.4383,-3.328620551666667,0.17943490027777642,False,3.881,1.4427,1.44282693,True
mp-1245178,SnO2,1.0304000000000002,-1.8332811019999995,0.27420090299999966,False,5.8529,4.8225,4.82272361,True
mp-1245182,WO3,2.0754,-1.9471008052500007,0.24375980131249975,False,1.5129,-0.5625,-0.44428013,True
mp-1245203,SnO2,0.6969000000000003,-1.4584237565555542,0.6490582484444456,False,4.9042,4.2073,4.25742365,True
mp-1245209,ZnO,1.2421,-1.5460531986250003,0.24484591387499943,False,1.6933,0.4512,0.45124221,True
mp-1245226,HfO2,3.4010000000000002,-3.8030383733333335,0.21677266749999902,False,5.8403,2.4393,2.45184279,True
mp-1245255,ZnO,0.93,-1.4025434456250003,0.38835566687499945,False,1.5394,0.6094,0.60941991,True
mp-1245267,WO3,1.9695,-1.9464030184500007,0.24445758811249974,False,1.1404,-0.8291,-0.77300622,True
mp-1245268,WO3,0.34159999999999996,-1.9444191992500008,0.2464414073124992,False,-0.4439,-0.7855,-0.63966785,True
mp-1245282,SnO2,0.0,-1.6044459409803924,0.5030360640196081,False,,,5.72402264,False
mp-1245308,TiO2,2.3002,-3.3378273110000007,0.1702281409444435,False,4.4296,2.1294,2.12941687,True
mp-1245321,TiO2,2.4087,-3.3187574306666674,0.18929802127777684,False,3.8056,1.3969,1.39703233,True
mp-1271755,VO2,0.7665345050003916,-2.4554293808333347,0.06703879583331762,False,2.092582161051918,1.3260476560515266,1.33046439,True
mp-1271757,VO2,0.9892000000000001,-2.417688144166668,0.1047800324999848,False,2.1701,1.1809,1.18083583,True
mp-1271792,VO2,0.002000000000000224,-2.3884084233333334,0.13405975333331988,False,2.6158,2.6138,2.61577181,True
mp-1272932,VO2,1.0657999999999999,-2.4214272094444436,0.10104096722220746,False,2.9947,1.9289,2.99461094,True
mp-1273390,VO2,1.2212,-2.4141610662500006,0.10830711041665175,False,3.2431,2.0219,2.02195353,True
mp-1273559,VO2,0.8258000000000001,-2.4208555677777763,0.10161260888887469,False,2.8022,1.9764,2.80212818,True
mp-1274771,VO2,1.2076000000000002,-2.408685304166667,0.11378287249998564,False,3.2627,2.0551,2.05525656,True
mp-1277117,VO2,1.0579999999999998,-2.412627525,0.10984065166665147,False,3.0587,2.0007,3.05857719,True
mp-1277428,VO2,0.8214999999999999,-2.420159219999999,0.1023089566666524,False,2.7986,1.9771,2.79822293,True
mp-1284510,VO2,1.3725,-2.405646150416667,0.11682202624998617,False,3.4115,2.039,2.05689803,True
mp-1285335,VO2,1.0984000000000003,-2.409498474166668,0.11296970249998495,False,3.2101,2.1117,2.11165697,True
mp-1289705,VO2,1.1309,-2.4087724762500002,0.11369570041665256,False,3.233,2.1021,2.1022952,True
mp-12978,SnO2,0.9699,-2.0905105366666668,0.01697146833333285,False,6.4071,5.4372,5.50557453,True
mp-12979,SnO2,0.0,-1.8618239416666664,0.24565806333333384,False,,,7.35106394,False
mp-1314858,VO2,1.1373000000000002,-2.3923375916666663,0.13013058499998564,False,3.1171,1.9798,1.9902744,True
mp-13161,ZnO,0.0,-1.0736901225,0.7172089899999996,False,,,3.08142186,False
mp-1330336,WO3,0.0,-0.9726041533333323,1.2182564532291673,False,,,0.31910054,False
mp-1341203,TiO2,2.5137743709489087,-3.3506559790277777,0.15739947291666745,False,2.7640163422070527,0.2502419712581443,0.23068294,True
mp-1342978,VO2,0.842,-2.3228091691666677,0.1996590074999851,False,1.6778,0.8358,1.67777595,True
mp-1350429,TiO2,1.0603199176882998,-3.3225052104861112,0.18555024145833343,False,2.894218785533971,1.8338988678456714,1.840562,True
mp-1352191,SnO2,0.7675451598079777,-1.8845726539583332,0.22290935104166643,False,4.546838587648234,3.7792934278402566,3.7684648,True
mp-1353031,VO2,0.6626999999999996,-2.340631741041667,0.18183643562498553,False,2.9732,2.3105,2.97323776,True
mp-1356217,SnO2,0.0,-1.809368160555555,0.2981138444444449,False,,,4.59388407,False
mp-1359814,SnO2,0.0,-1.850922564166666,0.2565594408333336,False,,,4.05914498,False
mp-1361684,VO2,0.8739000000000001,-2.3171825477777777,0.20528562888887514,False,2.5847,1.7108,2.58473241,True
mp-1374892,SnO2,1.2293999999999996,-2.0219832812499994,0.08549872375000067,False,5.0611,3.8317,3.83169069,True
mp-1380335,TiO2,1.6811999999999998,-3.3305649886111106,0.17749046333333318,False,2.7476,1.0664,1.10670023,True
mp-1384340,SnO2,1.8043505381006768,-2.0388910383333325,0.06859096666666709,False,4.309749226243545,2.505398688142868,2.51133741,True
mp-1386422,WO3,0.0,-0.962124092499999,1.2287365140625006,False,,,0.56042798,False
mp-1386640,TiO2,2.5135000000000005,-3.354790039444444,0.1532654124999997,False,3.9477,1.4342,1.54865164,True
mp-1390618,SnO2,1.9299,-1.9542055316666662,0.15327647333333339,False,5.2485,3.3186,3.58430345,True
mp-1392145,SnO2,0.802993285494629,-0.25440165833333356,1.8530803466666663,False,0.06909148629351991,-0.7339017992011091,-0.72770705,True
mp-1393040,VO2,0.0,-2.2136908116666683,0.308777364999985,False,,,1.52465887,False
mp-1396391,WO3,1.4642841761460574,-2.1816516731250006,0.009208933437498956,False,1.950763364870854,0.4864791887247967,0.49097422,True
mp-1396942,VO2,0.0,-0.1889504266666672,2.3335177499999853,False,,,-0.01464045,False
mp-1400963,TiO2,2.5042966204882897,-3.442752224444444,0.06530322750000117,False,3.1537054965457694,0.6494088760574798,0.6297268,True
